#Motion Sensor Data File Sep 25, 2017 5:44 PM
#Time (s)	Distance (cm)	Dist Error (cm)
#0.000	17.771	0.239
5.870	16.962	0.239
5.880	16.918	0.239
5.890	16.921	0.239
5.900	16.929	0.239
5.910	17.043	0.239
5.920	16.780	0.239
5.930	16.981	0.239
5.940	17.535	0.239
5.950	17.404	0.239
5.960	18.052	0.239
5.970	18.387	0.239
5.980	18.747	0.239
5.990	19.094	0.239
6.000	19.836	0.239
6.010	20.011	0.239
6.020	20.724	0.239
6.030	20.998	0.239
6.040	21.466	0.239
6.050	22.251	0.239
6.060	22.809	0.239
6.070	23.238	0.239
6.080	23.860	0.239
6.090	24.332	0.239
6.100	24.889	0.239
6.110	25.339	0.239
6.120	25.868	0.239
6.130	26.270	0.239
6.140	26.764	0.239
6.150	26.973	0.239
6.160	27.557	0.239
6.170	27.904	0.239
6.180	28.225	0.239
6.190	28.508	0.239
6.200	28.756	0.239
6.210	28.961	0.239
6.220	29.127	0.239
6.230	29.260	0.239
6.240	29.336	0.239
6.250	29.369	0.239
6.260	29.355	0.239
6.270	29.294	0.239
6.280	29.185	0.239
6.290	29.034	0.239
6.300	28.839	0.239
6.310	28.601	0.239
6.320	28.321	0.239
6.330	28.005	0.239
6.340	27.669	0.239
6.350	27.290	0.239
6.360	26.876	0.239
6.370	26.445	0.239
6.380	26.000	0.239
6.390	25.509	0.239
6.400	24.983	0.239
6.410	24.531	0.239
6.420	23.949	0.239
6.430	23.484	0.239
6.440	22.911	0.239
6.450	22.390	0.239
6.460	21.945	0.239
6.470	21.145	0.239
6.480	20.683	0.239
6.490	20.158	0.239
6.500	19.899	0.239
6.510	19.352	0.239
6.520	18.843	0.239
6.530	18.477	0.239
6.540	18.204	0.239
6.550	17.916	0.239
6.560	17.656	0.239
6.570	17.449	0.239
6.580	16.988	0.239
6.590	16.831	0.239
6.600	16.968	0.239
6.610	16.984	0.239
6.620	16.979	0.239
6.630	17.025	0.239
6.640	17.062	0.239
6.650	17.250	0.239
6.660	17.382	0.239
6.670	17.626	0.239
6.680	17.892	0.239
6.690	18.209	0.239
6.700	18.547	0.239
6.710	18.907	0.239
6.720	19.439	0.239
6.730	19.747	0.239
6.740	20.284	0.239
6.750	20.734	0.239
6.760	21.184	0.239
6.770	21.936	0.239
6.780	22.274	0.239
6.790	22.956	0.239
6.800	23.488	0.239
6.810	24.012	0.239
6.820	24.561	0.239
6.830	25.020	0.239
6.840	25.556	0.239
6.850	25.994	0.239
6.860	26.448	0.239
6.870	26.890	0.239
6.880	27.293	0.239
6.890	27.670	0.239
6.900	28.004	0.239
6.910	28.330	0.239
6.920	28.582	0.239
6.930	28.800	0.239
6.940	29.001	0.239
6.950	29.138	0.239
6.960	29.244	0.239
6.970	29.298	0.239
6.980	29.306	0.239
6.990	29.271	0.239
7.000	29.175	0.239
7.010	29.079	0.239
7.020	28.910	0.239
7.030	28.698	0.239
7.040	28.452	0.239
7.050	28.167	0.239
7.060	27.844	0.239
7.070	27.490	0.239
7.080	27.076	0.239
7.090	26.671	0.239
7.100	26.261	0.239
7.110	25.809	0.239
7.120	25.309	0.239
7.130	24.783	0.239
7.140	24.322	0.239
7.150	23.745	0.239
7.160	23.266	0.239
7.170	22.719	0.239
7.180	22.253	0.239
7.190	21.509	0.239
7.200	21.189	0.239
7.210	20.462	0.239
7.220	20.017	0.239
7.230	19.664	0.239
7.240	19.151	0.239
7.250	18.836	0.239
7.260	18.508	0.239
7.270	18.146	0.239
7.280	17.878	0.239
7.290	17.559	0.239
7.300	17.373	0.239
7.310	17.234	0.239
7.320	17.215	0.239
7.330	16.445	0.239
7.340	17.041	0.239
7.350	16.830	0.239
7.360	17.172	0.239
7.370	16.892	0.239
7.380	17.355	0.239
7.390	17.487	0.239
7.400	17.955	0.239
7.410	17.756	0.239
7.420	18.373	0.239
7.430	18.733	0.239
7.440	19.158	0.239
7.450	19.853	0.239
7.460	20.278	0.239
7.470	20.702	0.239
7.480	20.882	0.239
7.490	21.641	0.239
7.500	22.212	0.239
7.510	22.645	0.239
7.520	23.229	0.239
7.530	23.705	0.239
7.540	24.276	0.239
7.550	24.717	0.239
7.560	25.284	0.239
7.570	25.704	0.239
7.580	26.205	0.239
7.590	26.604	0.239
7.600	27.041	0.239
7.610	27.432	0.239
7.620	27.787	0.239
7.630	28.100	0.239
7.640	28.391	0.239
7.650	28.639	0.239
7.660	28.836	0.239
7.670	29.024	0.239
7.680	29.130	0.239
7.690	29.219	0.239
7.700	29.253	0.239
7.710	29.243	0.239
7.720	29.182	0.239
7.730	29.086	0.239
7.740	28.947	0.239
7.750	28.761	0.239
7.760	28.537	0.239
7.770	28.273	0.239
7.780	27.962	0.239
7.790	27.621	0.239
7.800	27.280	0.239
7.810	26.897	0.239
7.820	26.427	0.239
7.830	25.987	0.239
7.840	25.573	0.239
7.850	25.044	0.239
7.860	24.591	0.239
7.870	24.027	0.239
7.880	23.531	0.239
7.890	22.993	0.239
7.900	22.501	0.239
7.910	21.993	0.239
7.920	21.493	0.239
7.930	21.045	0.239
7.940	20.377	0.239
7.950	19.899	0.239
7.960	19.424	0.239
7.970	19.067	0.239
7.980	18.687	0.239
7.990	18.329	0.239
8.000	18.035	0.239
8.010	17.793	0.239
8.020	17.535	0.239
8.030	17.357	0.239
8.040	17.227	0.239
8.050	16.899	0.239
8.060	17.126	0.239
8.070	17.073	0.239
8.080	17.106	0.239
8.090	17.247	0.239
8.100	17.306	0.239
8.110	17.529	0.239
8.120	17.764	0.239
8.130	18.008	0.239
8.140	18.251	0.239
8.150	18.577	0.239
8.160	18.976	0.239
8.170	19.349	0.239
8.180	19.803	0.239
8.190	20.210	0.239
8.200	20.901	0.239
8.210	21.132	0.239
8.220	21.901	0.239
8.230	22.364	0.239
8.240	22.922	0.239
8.250	23.402	0.239
8.260	23.973	0.239
8.270	24.406	0.239
8.280	24.968	0.239
8.290	25.397	0.239
8.300	25.911	0.239
8.310	26.314	0.239
8.320	26.761	0.239
8.330	27.159	0.239
8.340	27.523	0.239
8.350	27.858	0.239
8.360	28.157	0.239
8.370	28.423	0.239
8.380	28.645	0.239
8.390	28.829	0.239
8.400	28.974	0.239
8.410	29.080	0.239
8.420	29.139	0.239
8.430	29.151	0.239
8.440	29.124	0.239
8.450	29.063	0.239
8.460	28.945	0.239
8.470	28.789	0.239
8.480	28.591	0.239
8.490	28.353	0.239
8.500	28.077	0.239
8.510	27.762	0.239
8.520	27.421	0.239
8.530	27.046	0.239
8.540	26.645	0.239
8.550	26.188	0.239
8.560	25.757	0.239
8.570	25.326	0.239
8.580	24.843	0.239
8.590	24.317	0.239
8.600	23.869	0.239
8.610	23.283	0.239
8.620	22.865	0.239
8.630	22.133	0.239
8.640	21.839	0.239
8.650	21.150	0.239
8.660	20.629	0.239
8.670	20.146	0.239
8.680	20.012	0.239
8.690	19.301	0.239
8.700	19.270	0.239
8.710	18.641	0.239
8.720	18.279	0.239
8.730	18.020	0.239
8.740	17.748	0.239
8.750	17.596	0.239
8.760	17.517	0.239
8.770	17.310	0.239
8.780	16.905	0.239
8.790	17.175	0.239
8.800	16.872	0.239
8.810	16.983	0.239
8.820	17.381	0.239
8.830	17.196	0.239
8.840	17.448	0.239
8.850	17.606	0.239
8.860	18.142	0.239
8.870	18.481	0.239
8.880	18.819	0.239
8.890	19.175	0.239
8.900	19.703	0.239
8.910	20.265	0.239
8.920	20.539	0.239
8.930	21.148	0.239
8.940	21.663	0.239
8.950	21.842	0.239
8.960	22.615	0.239
8.970	23.078	0.239
8.980	23.653	0.239
8.990	24.077	0.239
9.000	24.639	0.239
9.010	25.072	0.239
9.020	25.592	0.239
9.030	26.003	0.239
9.040	26.415	0.239
9.050	26.857	0.239
9.060	27.234	0.239
9.070	27.581	0.239
9.080	27.898	0.239
9.090	28.176	0.239
9.100	28.420	0.239
9.110	28.625	0.239
9.120	28.804	0.239
9.130	28.928	0.239
9.140	29.009	0.239
9.150	29.046	0.239
9.160	29.028	0.239
9.170	28.979	0.239
9.180	28.888	0.239
9.190	28.762	0.239
9.200	28.589	0.239
9.210	28.381	0.239
9.220	28.148	0.239
9.230	27.880	0.239
9.240	27.561	0.239
9.250	27.216	0.239
9.260	26.841	0.239
9.270	26.414	0.239
9.280	26.026	0.239
9.290	25.582	0.239
9.300	25.073	0.239
9.310	24.638	0.239
9.320	24.108	0.239
9.330	23.617	0.239
9.340	23.147	0.239
9.350	22.613	0.239
9.360	21.924	0.239
9.370	21.652	0.239
9.380	21.113	0.239
9.390	20.738	0.239
9.400	20.049	0.239
9.410	19.626	0.239
9.420	19.255	0.239
9.430	18.927	0.239
9.440	18.582	0.239
9.450	18.293	0.239
9.460	18.051	0.239
9.470	17.788	0.239
9.480	17.550	0.239
9.490	17.442	0.239
9.500	17.359	0.239
9.510	17.177	0.239
9.520	17.305	0.239
9.530	17.321	0.239
9.540	17.401	0.239
9.550	17.224	0.239
9.560	17.640	0.239
9.570	17.866	0.239
9.580	18.093	0.239
9.590	18.346	0.239
9.600	18.951	0.239
9.610	19.272	0.239
9.620	19.426	0.239
9.630	19.773	0.239
9.640	20.184	0.239
9.650	20.953	0.239
9.660	21.300	0.239
9.670	21.690	0.239
9.680	22.317	0.239
9.690	22.827	0.239
9.700	23.290	0.239
9.710	23.831	0.239
9.720	24.281	0.239
9.730	24.774	0.239
9.740	25.255	0.239
9.750	25.696	0.239
9.760	26.125	0.239
9.770	26.519	0.239
9.780	26.935	0.239
9.790	27.308	0.239
9.800	27.638	0.239
9.810	27.938	0.239
9.820	28.203	0.239
9.830	28.430	0.239
9.840	28.618	0.239
9.850	28.767	0.239
9.860	28.874	0.239
9.870	28.937	0.239
9.880	28.962	0.239
9.890	28.948	0.239
9.900	28.899	0.239
9.910	28.799	0.239
9.920	28.656	0.239
9.930	28.474	0.239
9.940	28.254	0.239
9.950	27.999	0.239
9.960	27.710	0.239
9.970	27.373	0.239
9.980	27.024	0.239
9.990	26.640	0.239
10.000	26.243	0.239
10.010	25.843	0.239
10.020	25.390	0.239
10.030	24.950	0.239
10.040	24.386	0.239
10.050	23.981	0.239
10.060	23.420	0.239
10.070	22.951	0.239
10.080	22.489	0.239
10.090	21.934	0.239
10.100	21.541	0.239
10.110	20.822	0.239
10.120	20.352	0.239
10.130	20.033	0.239
10.140	19.537	0.239
10.150	19.239	0.239
10.160	18.843	0.239
10.170	18.498	0.239
10.180	18.230	0.239
10.190	18.147	0.239
10.200	17.785	0.239
10.210	17.565	0.239
10.220	17.486	0.239
10.230	17.403	0.239
10.240	17.325	0.239
10.250	17.345	0.239
10.260	17.378	0.239
10.270	17.235	0.239
10.280	17.638	0.239
10.290	17.779	0.239
10.300	17.984	0.239
10.310	18.220	0.239
10.320	18.536	0.239
10.330	18.836	0.239
10.340	19.183	0.239
10.350	19.577	0.239
